306578 306570 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00672817	0.0228729 -0.0315414 0.0108834	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
306780 306772 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00677436	0.0224879 -0.028254 0.0110454	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
306982 306971 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00682191	0.0227985 -0.029947 0.0111063	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
307184 307172 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00686634	0.022983 -0.0298844 0.0107717	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
307419 307412 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00691345	0.0231778 -0.0306106 0.0109571	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
307621 307611 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00695626	0.0221495 -0.0300236 0.0105493	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
307823 307811 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00699658	0.0228848 -0.0301838 0.0103083	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
308025 308012 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00704577	0.023552 -0.0293623 0.0110037	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
308227 308211 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00708888	0.0234565 -0.0294085 0.0104901	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
308429 308411 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00713377	0.0233838 -0.0291911 0.0106094	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
308632 308632 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.0071793	0.0227335 -0.0296468 0.0106409	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
308833 308831 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00722403	0.0231428 -0.0304477 0.0105667	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
309035 309032 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00726798	0.0238289 -0.0301231 0.0104983	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
309237 309231 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00731648	0.0236866 -0.0298573 0.0108253	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
309440 309432 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00735698	0.0230777 -0.0304285 0.0102429	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
309642 309632 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00740727	0.0232542 -0.030902 0.0109391	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
