781108 781092 0.26584 -0.000761709 0.00413235 0 0 61 78 -262 0   0.26584 -0.000763649 0.00417424	0.27173 0.00763259 0.00603583	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
781310 781292 0.244984 -0.00085874 0.00465595 0 0 53 75 -265 0   0.244984 -0.000861553 0.00470642	0.251731 0.0114258 0.00626958	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
781512 781493 0.224039 -0.000954075 0.00448142 0 0 53 78 -263 0   0.224039 -0.000957943 0.00453995	0.229843 0.0120877 0.00591399	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
781714 781713 0.202198 -0.00104085 0.00360876 0 0 53 76 -257 0   0.202198 -0.00104599 0.00367558	0.21083 0.010314 0.00500743	0 0 0	0 0 0 0 2 1 1 1 4 0 0  0 0 0
781916 781913 0.180984 -0.00111727 0.00410414 0 0 58 82 -256 0   0.180985 -0.00112383 0.00418099	0.190961 0.00678081 0.00570294	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
782118 782113 0.159949 -0.00118174 0.00291062 0 0 67 82 -250 0   0.159949 -0.00118992 0.00299891	0.169021 0.00305945 0.00464314	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
782320 782313 0.139898 -0.00123451 0.00256156 0 -0.00872665 72 78 -250 0   0.140684 0.00131 0.00266472	0.151771 0.00229854 0.0047034	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
782522 782513 0.118953 -0.00128997 0.00291062 0 0.00872665 73 84 -256 0   0.119739 0.00125237 0.00302894	0.130264 -0.00133209 0.00501009	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
782724 782715 0.098813 -0.00134604 0.00273609 0 0 74 80 -250 0   0.0995987 0.00119392 0.00286406	0.114212 -0.00245589 0.00407298	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
782926 782913 0.0777779 -0.00140751 0.00360876 0 0.00872665 74 76 -256 0   0.0785637 0.00112977 0.00374732	0.0972946 0.000788647 0.0050198	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
783128 783113 0.0568324 -0.00148566 0.00378329 0 0 71 76 -262 0   0.0576181 0.00104871 0.0039351	0.0777492 0.00478555 0.00546537	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
783330 783313 0.0358869 -0.00157074 0.00413236 0 0 62 73 -265 0   0.0366726 0.000960448 0.0042919	0.0553886 0.00903546 0.00515299	0 0 0	0 0 0 0 2 1 1 1 4 0 0  0 0 0
783532 783514 0.0149414 -0.00165197 0.00378329 0 0 55 71 -263 0   0.0157271 0.000875882 0.00395072	0.0357053 0.013575 0.00479848	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
783734 783734 -0.00806286 -0.0017375 0.00395782 0 0 56 62 -264 0   -0.00727712 0.000786497 0.0041413	0.0201014 0.0100645 0.00581015	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
783936 783934 -0.0153132 -0.00176704 0.00360876 0 -0.00872665 55 101 -263 0   -0.0154428 0.00121063 0.00378826	0.0151523 0.0120545 0.00338721	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
